Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
17.05.,16:17,16:33,0:16,0.27,28.00,7.63,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
17.05.,15:37,15:56,0:19,0.32,28.00,8.87,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
17.05.,15:02,15:28,0:26,0.43,28.00,12.16,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
17.05.,14:38,14:54,0:15,0.27,28.00,7.43,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
17.05.,14:25,17:10,2:45,2.75,585.00,1608.75,,,open,0%,Bitson,Cromi,Operativo,"Pruebas en DEV, alta de cliente y envío de mail.
Cambio de password inicial en el alta de cliente y antes de la confirmación del mail.",,,,lcolombo,0
17.05.,14:10,14:25,0:15,0.25,585.00,146.25,,,open,0%,Bitson,Cromi,Operativo,PUT /register/owner & PUT /register/owner/<user_id>,,,,lcolombo,0
17.05.,14:08,14:27,0:19,0.33,0.00,0.00,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
17.05.,14:00,17:00,3:00,3.00,28.00,84.00,,,open,0%,Bitson,Cromi,Desarrollo,Alta usuario,,,,ddebonis,0
17.05.,14:00,16:20,2:20,2.33,0.00,0.00,,,open,0%,Kairos - Totem,Osmedica,Reunion,Reunion Demo de producto con el Cliente,,,,hbrunacci,0
17.05.,13:50,14:10,0:20,0.33,585.00,195.00,,,open,0%,Bitson,Cromi,Operativo,POST /register/owner,,,,lcolombo,0
17.05.,13:30,14:00,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Almuerzo,,,,,ddebonis,0
17.05.,11:30,14:00,2:30,2.50,0.00,0.00,,,open,0%,Kairos - Totem,Osmedica,Testing,Reunión de Testing y ajuste de detalles Devecoop,,,,hbrunacci,0
17.05.,10:45,11:15,0:30,0.50,585.00,292.50,,,open,0%,Bitson,Cromi,Operativo,GET /auth/admins for ROOT. Deployed on DEV.,,,,lcolombo,0
17.05.,10:20,11:20,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Manos a la obra,Completar Requerimientos,Impresión y modificación de formularios faltantes que no estaban el la carpeta compartida. (cuberti),,,,hbrunacci,0
17.05.,10:15,16:00,5:45,5.75,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,"Kairos
Cromi
Manos a la obra
Facturas",,,,cuberti,0
17.05.,10:05,10:15,0:10,0.17,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,"Llamado telefónico R. Ojeda.
Se coordina reunión para le dia Viernes 19 Zona Nuñez.",,,,hbrunacci,0
17.05.,10:00,10:45,0:45,0.75,585.00,438.75,,,open,0%,Bitson,Cromi,Operativo,Login for Root. Deployed on Develop.,,,,lcolombo,0
17.05.,10:00,18:30,8:30,8.50,28.00,238.00,,,open,0%,Betterez,Betterez,Desarrollo,6377,,,,abrunacci,0
17.05.,09:45,10:05,0:20,0.33,0.00,0.00,,,open,0%,Bitson,Bitson,Testing,Maquina personal colgada,,,,hbrunacci,0
17.05.,08:00,13:30,5:30,5.50,28.00,154.00,,,open,0%,Bitson,Cromi,Desarrollo,Alta usuario,,,,ddebonis,0
17.05.,05:30,07:30,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Manos a la obra,Completar Requerimientos,"Revision de documentacion.
Ajuste de detalles 
Acabado del Doc historial de desarrollo
Corrección de planilla de tiempos estimados
Búsqueda de Formularios actualizados faltantes. 
 ",,,,hbrunacci,0
16.05.,18:45,20:20,1:35,1.58,585.00,926.25,,,open,0%,ECSA,Beagle SCA,Operativo,Análisis de comunicación Controlador/Molinete.,,,,lcolombo,0
16.05.,17:30,18:45,1:15,1.25,585.00,731.25,,,open,0%,CoopeViajes,CostaCrucerosWS,Presupuesto,Redacción de presupuesto.,,,,lcolombo,0
